
No.,(a + j)*,Prestação,Total Seguros,Tarifas,Saldo Devedor
1,1761.18,1830.68,44.50,25.00,232050.06
13,1761.18,1830.59,44.41,25.00,230969.13
25,1761.18,1830.49,44.31,25.00,229790.77
37,1761.18,1835.63,49.45,25.00,228506.23
49,1761.18,1835.48,49.30,25.00,227105.92
61,1761.18,1835.32,49.14,25.00,225579.41
73,1761.18,1835.14,48.96,25.00,223915.33
85,1761.18,1834.94,48.76,25.00,222101.29
97,1761.18,1842.65,56.47,25.00,220123.75
109,1761.18,1842.34,56.16,25.00,217967.98
121,1761.18,1842.00,55.82,25.00,215617.95
133,1761.18,1841.64,55.46,25.00,213056.13
145,1761.18,1841.23,55.05,25.00,210263.43
157,1761.18,1861.52,75.34,25.00,207219.06
169,1761.18,1860.71,74.53,25.00,203900.33
181,1761.18,1859.82,73.64,25.00,200282.51
193,1761.18,1858.86,72.68,25.00,196338.64
205,1761.18,1857.81,71.63,25.00,192039.36
217,1761.18,1878.21,92.03,25.00,187352.62
229,1761.18,1876.38,90.20,25.00,182243.49
241,1761.18,1874.38,88.20,25.00,176673.92
253,1761.18,1872.20,86.02,25.00,170602.41
265,1761.18,1869.83,83.65,25.00,163983.73
277,1761.18,1912.07,125.89,25.00,156768.56
289,1761.18,1907.00,120.82,25.00,148903.17
301,1761.18,1901.47,115.29,25.00,140328.91
313,1761.18,1895.44,109.26,25.00,130981.94
325,1761.18,1888.87,102.69,25.00,120792.62
337,1761.18,1894.75,108.57,25.00,109685.03
349,1761.18,1885.50,99.32,25.00,97576.40
361,1761.18,1875.42,89.24,25.00,84376.52
373,1761.18,1864.43,78.25,25.00,69987.05
385,1761.18,1852.44,66.26,25.00,54300.79
397,1761.18,1859.17,72.99,25.00,37200.87
409,1761.18,1835.01,48.83,25.00,18559.87
420,1761.28,1786.28,0.00,25.00,0.00
