
No.,(a + j)*,Prestação,Total Seguros,Tarifas,Saldo Devedor
1,1765.13,1830.50,40.37,25.00,183476.21
13,1727.21,1792.13,39.92,25.00,178221.53
25,1689.29,1757.75,43.46,25.00,172966.85
37,1651.37,1719.26,42.89,25.00,167712.17
49,1613.45,1680.77,42.32,25.00,162457.49
61,1575.52,1642.27,41.75,25.00,157202.81
73,1537.60,1603.79,41.19,25.00,151948.13
85,1499.68,1570.58,45.90,25.00,146693.45
97,1461.76,1531.90,45.14,25.00,141438.77
109,1423.84,1493.23,44.39,25.00,136184.09
121,1385.92,1454.55,43.63,25.00,130929.41
133,1348.00,1415.87,42.87,25.00,125674.73
145,1310.08,1389.24,54.16,25.00,120420.05
157,1272.15,1350.03,52.88,25.00,115165.37
169,1234.23,1310.82,51.59,25.00,109910.69
181,1196.31,1271.62,50.31,25.00,104656.01
193,1158.39,1232.42,49.03,25.00,99401.33
205,1120.47,1204.04,58.57,25.00,94146.65
217,1082.55,1164.24,56.69,25.00,88891.97
229,1044.63,1124.43,54.80,25.00,83637.29
241,1006.71,1084.62,52.91,25.00,78382.61
253,968.78,1044.81,51.03,25.00,73127.93
265,930.86,1024.41,68.55,25.00,67873.25
277,892.94,983.10,65.16,25.00,62618.57
289,855.02,941.79,61.77,25.00,57363.89
301,817.10,900.49,58.39,25.00,52109.21
313,779.18,859.18,55.00,25.00,46854.53
325,741.26,822.82,56.56,25.00,41599.85
337,703.34,780.88,52.54,25.00,36345.17
349,665.41,738.94,48.53,25.00,31090.49
361,627.49,697.00,44.51,25.00,25835.81
373,589.57,655.07,40.50,25.00,20581.13
385,551.65,621.29,44.64,25.00,15326.45
397,513.74,576.57,37.83,25.00,10071.76
409,475.82,531.84,31.02,25.00,4816.96
420,441.12,466.12,0.00,25.00,0.00
